Query,Execution Time (ms),Common count
1,712.9421234130859,600
2,252.1059513092041,600
3,223.75082969665527,600
4,367.9029941558838,600
5,242.95806884765625,600
6,194.84782218933105,600
7,293.11513900756836,600
8,328.2959461212158,600
9,236.38200759887695,600
10,232.19704627990723,600
11,372.905969619751,800
12,377.2752285003662,1500
13,253.98588180541992,2100
14,416.21994972229004,2100
15,307.96098709106445,2100
16,366.1348819732666,2100
17,449.1381645202637,2100
18,274.578332901001,2100
19,194.8847770690918,2100
20,328.90868186950684,2100
21,246.16122245788574,2100
22,333.50586891174316,2100
